Dataset,Split,k,SGC+MLP,Restricted+Std,RowNorm (Î±=0),Log-Magnitude,Spectral RowNorm,Nested Spheres,Part A,Part B,Part B.5,Part B.6 (Spectral),Part B.6 (Nested),Gap (RowNorm),Gap (Log-Mag),Gap (Spectral),Gap (Nested),Best Alpha
amazon-computers,fixed,10,84.36,89.58,90.26,90.88,90.79,91.01,5.22,0.68,1.30,1.21,1.44,5.90,6.52,6.43,6.65,1.00
amazon-photo,fixed,10,91.25,88.14,90.51,90.42,91.56,91.05,-3.11,2.38,2.28,3.42,2.91,-0.73,-0.83,0.31,-0.20,1.00
citeseer,fixed,10,62.32,32.07,69.80,66.33,69.50,67.45,-30.26,37.74,34.27,37.44,35.38,7.48,4.01,7.18,5.13,1.00
coauthor-cs,fixed,10,91.79,81.21,80.83,84.61,89.49,88.72,-10.58,-0.38,3.40,8.28,7.51,-10.95,-7.18,-2.30,-3.07,1.00
coauthor-physics,fixed,10,95.12,87.75,92.37,93.36,94.71,94.63,-7.37,4.62,5.61,6.96,6.88,-2.75,-1.76,-0.41,-0.49,1.00
cora,fixed,10,76.24,36.42,59.83,53.31,68.02,63.41,-39.83,23.41,16.90,31.61,26.99,-16.42,-22.93,-8.22,-12.83,1.00
ogbn-arxiv,fixed,10,71.22,71.22,70.69,70.85,71.14,70.44,-0.01,-0.52,-0.37,-0.08,-0.77,-0.53,-0.38,-0.09,-0.78,-1.00
pubmed,fixed,10,76.00,46.86,50.58,49.80,51.28,52.28,-29.14,3.72,2.94,4.42,5.42,-25.42,-26.20,-24.72,-23.72,0.50
wikics,fixed,10,76.41,69.01,65.89,66.72,66.46,66.52,-7.40,-3.12,-2.29,-2.55,-2.49,-10.53,-9.69,-9.95,-9.90,-0.50
